Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
15-December-2015,1158.00,1195.00,1119.00,1187.20,1172.391324689212672102,14962,1908,17541319.00,3592,24.01,76.00,29.20
14-December-2015,1110.00,1115.00,1092.00,1110.05,1105.731238447319778188,2705,383,2991003.00,928,34.31,23.00,0.05
11-December-2015,1131.80,1139.00,1105.30,1109.75,1128.485584623598505072,3746,491,4227307.00,486,12.97,33.70,-22.05
10-December-2015,1143.65,1144.00,1107.00,1128.25,1125.747895229186155285,2138,312,2406849.00,495,23.15,37.00,-15.40
9-December-2015,1153.00,1153.00,1116.40,1129.10,1131.061942347288949897,5828,771,6591829.00,,,36.60,-23.90
8-December-2015,1147.10,1157.00,1145.00,1149.35,1151.507911392405063291,3160,460,3638765.00,589,18.64,12.00,2.25
7-December-2015,1165.00,1166.25,1145.00,1148.00,1151.315201192250372578,1342,238,1545065.00,526,39.20,21.25,-17.00
4-December-2015,1160.10,1161.80,1147.25,1153.70,1155.932362754018804974,3297,340,3811109.00,945,28.66,14.55,-6.40
3-December-2015,1169.65,1177.05,1160.00,1164.85,1170.393584742089293454,9228,801,10800392.00,507,5.49,17.05,-4.80
2-December-2015,1173.60,1176.50,1161.45,1172.20,1170.141057934508816120,3176,400,3716368.00,797,25.09,15.05,-1.40
1-December-2015,1180.00,1186.95,1174.80,1176.95,1179.577677224736048265,3978,611,4692360.00,1443,36.27,12.15,-3.05
30-November-2015,1186.75,1186.75,1164.00,1170.60,1171.261618218848361414,5401,532,6325984.00,2368,43.84,22.75,-16.15
27-November-2015,1170.00,1185.00,1150.70,1159.75,1168.027886828211723297,7387,970,8628222.00,2077,28.12,34.30,-10.25
26-November-2015,1163.00,1170.20,1150.00,1156.60,1161.382639714625445897,4205,692,4883614.00,1475,35.08,20.20,-6.40
24-November-2015,1179.10,1180.05,1154.00,1163.30,1166.476119402985074626,2680,567,3126156.00,758,28.28,26.05,-15.80
23-November-2015,1174.00,1180.80,1170.05,1174.70,1176.270440251572327044,2862,360,3366486.00,1137,39.73,10.75,0.70
20-November-2015,1190.00,1190.00,1173.00,1176.95,1180.908603523104416645,3917,572,4625619.00,1024,26.14,17.00,-13.05
19-November-2015,1197.25,1197.25,1175.05,1179.40,1189.491611269389047166,6318,541,7515208.00,940,14.88,22.20,-17.85
18-November-2015,1204.95,1211.00,1168.45,1175.35,1196.983989886488206796,339348,559,406194123.00,335025,98.73,42.55,-29.60
17-November-2015,1205.55,1210.00,1194.00,1200.35,1202.100000000000000000,2820,384,3389922.00,968,34.33,16.00,-5.20
