Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2018,135.70,135.95,132.00,133.60,133.250741154052048581,1722314,7512,229499617.00,532230,30.90,3.95,-2.10
29-November-2018,136.00,136.45,132.10,134.80,134.175024376716036368,1125049,6155,150953477.00,250105,22.23,4.35,-1.20
28-November-2018,138.90,138.90,133.30,134.00,135.342363109696937107,855466,4516,115780790.00,289355,33.82,5.60,-4.90
27-November-2018,136.10,139.70,135.50,138.25,137.903969016504792369,1378024,5731,190034979.00,457638,33.21,4.20,2.15
26-November-2018,143.00,143.15,136.50,137.45,138.485543409043483349,1298681,6889,179848544.00,207001,15.94,6.65,-5.55
22-November-2018,142.30,142.70,138.00,138.30,139.365407213362834902,697816,4166,97251411.00,232856,33.37,4.70,-4.00
21-November-2018,145.50,148.40,141.10,141.55,143.551698794338839531,1187813,7104,170512574.00,174639,14.70,7.30,-3.95
20-November-2018,144.20,144.95,138.20,139.10,141.352205751512179616,1472378,5811,208123878.00,580289,39.41,6.75,-5.10
19-November-2018,144.00,144.90,140.00,142.75,142.192899419294726866,752361,4229,106980392.00,218959,29.10,4.90,-1.25
16-November-2018,144.95,145.70,141.30,143.40,143.565875829577920247,1685345,5646,241958031.00,609214,36.15,4.40,-1.55
15-November-2018,145.75,148.60,142.90,146.95,146.170471063190067998,803544,4463,117454405.00,213639,26.59,5.70,1.20
14-November-2018,145.60,154.95,144.55,145.40,149.752678198303865921,2005266,14596,300293954.00,284163,14.17,10.40,-0.20
13-November-2018,136.90,142.10,136.50,141.30,140.030262841449894071,1002087,6141,140322506.00,192033,19.16,5.60,4.40
12-November-2018,141.90,141.90,134.35,135.25,138.171403985936948191,758868,4949,104853857.00,239348,31.54,7.55,-6.65
9-November-2018,141.10,142.65,140.20,141.75,141.710324945788111545,552923,3433,78354898.00,117492,21.25,2.45,0.65
7-November-2018,139.80,139.80,138.50,139.05,139.098551145647990123,110156,1340,15322540.00,66199,60.10,1.30,-0.75
6-November-2018,140.80,141.35,136.45,136.90,137.581861199091726235,892242,5311,122756315.00,292919,32.83,4.90,-3.90
5-November-2018,147.10,147.10,139.00,140.05,141.100182175523471161,1322900,6520,186661431.00,302389,22.86,8.10,-7.05
2-November-2018,145.55,150.95,145.05,148.20,148.033522936610022687,1547090,9577,229021183.00,227861,14.73,5.90,2.65
1-November-2018,139.25,142.90,139.25,141.35,141.356541634192681465,1474257,7026,208395871.00,462365,31.36,3.65,2.10
31-October-2018,137.40,138.65,135.10,138.05,137.431319731831541697,883922,4553,121478567.00,332899,37.66,3.55,0.65
30-October-2018,140.25,140.25,135.70,136.50,138.531328900899024208,518451,3550,71821706.00,140768,27.15,4.55,-3.75
29-October-2018,137.15,141.60,135.70,141.20,138.960574367314975867,796842,4121,110729622.00,148892,18.69,5.90,4.05
26-October-2018,139.05,139.80,135.05,137.10,137.189329550039698551,1613409,10438,221342499.00,477414,29.59,4.75,-1.95
25-October-2018,136.60,140.10,135.50,138.70,138.470299835029838562,2980539,10381,412716129.00,932125,31.27,4.60,2.10
24-October-2018,134.25,138.90,132.85,137.20,135.686569004517441184,2278945,9658,309222228.00,1071915,47.04,6.05,2.95
23-October-2018,129.00,131.10,125.20,130.00,128.080061641436932543,1647593,6752,211023813.00,576606,35.00,5.90,1.00
22-October-2018,133.70,134.15,129.05,129.85,130.296086904858692049,959394,5139,125005284.00,470713,49.06,5.10,-3.85
19-October-2018,134.00,134.90,131.80,133.00,133.373609636849046286,621780,3893,82929043.00,142682,22.95,3.10,-1.00
17-October-2018,136.50,136.60,131.85,132.30,133.693532624208661856,529009,3778,70725082.00,146902,27.77,4.75,-4.20
16-October-2018,136.00,136.90,133.35,135.50,135.186785829093210942,706151,4939,95462284.00,113437,16.06,3.55,-0.50
15-October-2018,134.60,135.65,129.75,134.95,133.694050705496237274,1267831,9982,169501462.00,417685,32.94,5.90,0.35
12-October-2018,135.00,136.70,132.95,133.60,134.203298013105614560,1615033,10908,216742755.00,439769,27.23,3.75,-1.40
11-October-2018,124.00,134.00,120.50,131.00,128.912906012822624583,2525536,24078,325574185.00,559766,22.16,13.50,7.00
10-October-2018,123.50,128.30,122.20,124.30,124.859342656083909620,822218,6901,102661599.00,194834,23.70,6.10,0.80
9-October-2018,126.10,126.70,120.45,122.40,122.988851689733217493,903545,9990,111125962.00,253460,28.05,6.25,-3.70
8-October-2018,121.10,125.80,117.70,124.70,122.734232421080612957,2377521,21542,291803215.00,463966,19.51,8.10,3.60
