Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI
NIFTY,02-Jan-2018,28-Mar-2018,CE,10300,390,395,370,370,370,370,29,232.47,8.45,33150,1425
NIFTY,02-Jan-2018,28-Mar-2018,CE,10350,0,0,0,400.45,0,364.95,0,0,0,0,0
NIFTY,02-Jan-2018,28-Mar-2018,CE,10400,339.3,339.3,309.2,322,322,322,27,217.14,6.54,9225,300
NIFTY,02-Jan-2018,28-Mar-2018,CE,10450,0,0,0,335.85,0,302.9,0,0,0,0,0
NIFTY,02-Jan-2018,28-Mar-2018,CE,10500,297,300.45,248.65,266.1,262.95,266.1,699,5645.43,140.8,302250,-1650
NIFTY,02-Jan-2018,28-Mar-2018,CE,10550,0,0,0,277.85,0,247.7,0,0,0,0,0
NIFTY,02-Jan-2018,28-Mar-2018,CE,10600,230,233.45,202.35,212.95,209.9,212.95,25,202.75,4,2250,750
NIFTY,02-Jan-2018,28-Mar-2018,CE,10650,0,0,0,226.5,0,199.4,0,0,0,0,0
NIFTY,02-Jan-2018,28-Mar-2018,CE,10700,181,184,157.2,168.85,168.85,168.85,52,423.92,6.62,53325,1050
NIFTY,02-Jan-2018,28-Mar-2018,CE,10750,0,0,0,181.95,0,158,0,0,0,0,0
NIFTY,02-Jan-2018,28-Mar-2018,CE,10800,132.4,132.65,119.85,128.85,128.65,128.85,151,1237.52,14.42,11100,7050
NIFTY,02-Jan-2018,28-Mar-2018,CE,10850,0,0,0,143.9,0,123.15,0,0,0,0,0
NIFTY,02-Jan-2018,28-Mar-2018,CE,10900,94.9,102.1,92.25,98.25,99.15,98.25,128,1055.63,9.23,6300,3825
NIFTY,02-Jan-2018,28-Mar-2018,CE,10950,0,0,0,112.05,0,94.4,0,0,0,0,0
NIFTY,02-Jan-2018,28-Mar-2018,CE,11000,85,85,68.25,75.35,75.75,75.35,1064,8837.69,59.69,379275,39450
NIFTY,02-Jan-2018,28-Mar-2018,CE,11050,0,0,0,86.4,0,71.25,0,0,0,0,0
NIFTY,02-Jan-2018,28-Mar-2018,CE,11100,59.4,59.4,48,51.75,52,51.75,38,317.81,1.46,12000,300
NIFTY,02-Jan-2018,28-Mar-2018,CE,11150,0,0,0,64.9,0,52.8,0,0,0,0,0
NIFTY,02-Jan-2018,28-Mar-2018,CE,11200,30.5,35.75,30,34.8,35,34.8,121,1019.44,3.04,12150,1050
NIFTY,02-Jan-2018,28-Mar-2018,CE,11250,0,0,0,48.15,0,38.45,0,0,0,0,0
NIFTY,02-Jan-2018,28-Mar-2018,CE,11300,0,0,0,55.65,0,32.6,0,0,0,0,0
NIFTY,02-Jan-2018,28-Mar-2018,CE,11350,0,0,0,35.15,0,27.5,0,0,0,0,0
NIFTY,02-Jan-2018,28-Mar-2018,CE,11400,0,0,0,43.25,43.25,23.15,0,0,0,75,0
NIFTY,02-Jan-2018,28-Mar-2018,CE,11450,0,0,0,25.25,0,19.35,0,0,0,0,0
NIFTY,02-Jan-2018,28-Mar-2018,CE,11500,16.5,16.5,14.95,15,14.95,15,22,190.01,0.26,48300,0
NIFTY,02-Jan-2018,28-Mar-2018,CE,11550,0,0,0,17.85,0,13.4,0,0,0,0,0
NIFTY,02-Jan-2018,28-Mar-2018,CE,11600,0,0,0,34,0,11.05,0,0,0,0,0
NIFTY,02-Jan-2018,28-Mar-2018,CE,11650,0,0,0,12.4,0,9.1,0,0,0,0,0
NIFTY,02-Jan-2018,28-Mar-2018,CE,11700,0,0,0,35.1,35.1,7.45,0,0,0,150,0
NIFTY,02-Jan-2018,28-Mar-2018,CE,11750,0,0,0,8.5,0,6.05,0,0,0,0,0
NIFTY,02-Jan-2018,28-Mar-2018,CE,11800,0,0,0,21.7,0,4.95,0,0,0,0,0
NIFTY,02-Jan-2018,28-Mar-2018,CE,11850,0,0,0,5.7,0,4,0,0,0,0,0
NIFTY,02-Jan-2018,28-Mar-2018,CE,11900,8,8,7.5,7.85,7.5,7.85,3,26.79,0.02,375,225
NIFTY,02-Jan-2018,28-Mar-2018,CE,11950,0,0,0,3.8,0,2.55,0,0,0,0,0
NIFTY,02-Jan-2018,28-Mar-2018,CE,12000,0,0,0,6.15,6.15,2.05,0,0,0,38850,0
NIFTY,02-Jan-2018,28-Mar-2018,CE,12050,0,0,0,2.65,0,1.65,0,0,0,0,0
NIFTY,02-Jan-2018,28-Mar-2018,CE,12100,0,0,0,16.35,0,1.3,0,0,0,0,0
NIFTY,02-Jan-2018,28-Mar-2018,CE,12200,0,0,0,4.85,0,0.8,0,0,0,0,0
NIFTY,02-Jan-2018,28-Mar-2018,CE,12300,0,0,0,5.25,0,0.5,0,0,0,0,0
NIFTY,02-Jan-2018,28-Mar-2018,CE,12400,0,0,0,4.65,0,0.3,0,0,0,0,0
NIFTY,02-Jan-2018,28-Mar-2018,CE,12500,1.6,2.5,0.85,1.05,0.95,1.05,369,3459.7,0.33,117525,13200
NIFTY,02-Jan-2018,28-Mar-2018,CE,12600,0,0,0,3.35,0,0.1,0,0,0,0,0
NIFTY,02-Jan-2018,28-Mar-2018,CE,12700,0,0,0,2.4,0,0.1,0,0,0,0,0
NIFTY,02-Jan-2018,28-Mar-2018,CE,12800,0,0,0,1.2,0,0.05,0,0,0,0,0
NIFTY,02-Jan-2018,28-Mar-2018,CE,12900,0,0,0,0.85,0,0.05,0,0,0,0,0
NIFTY,03-Jan-2018,28-Mar-2018,CE,11000,78.5,86.75,72.05,74,73,74,630,5235.33,37.83,383100,3825
NIFTY,03-Jan-2018,28-Mar-2018,CE,11050,0,0,0,86.4,0,65.05,0,0,0,0,0
NIFTY,03-Jan-2018,28-Mar-2018,CE,11100,57,64.85,52.3,54.2,54.75,54.2,233,1950.34,10.62,15375,3375
NIFTY,03-Jan-2018,28-Mar-2018,CE,11150,0,0,0,64.9,0,47.45,0,0,0,0,0
NIFTY,03-Jan-2018,28-Mar-2018,CE,11200,36.8,40.95,35,35,35,35,69,581.62,2.02,12300,150
NIFTY,03-Jan-2018,28-Mar-2018,CE,11250,0,0,0,48.15,0,34,0,0,0,0,0
NIFTY,03-Jan-2018,28-Mar-2018,CE,11300,0,0,0,55.65,0,28.55,0,0,0,0,0
NIFTY,03-Jan-2018,28-Mar-2018,CE,11350,0,0,0,35.15,0,23.85,0,0,0,0,0
NIFTY,03-Jan-2018,28-Mar-2018,CE,11400,0,0,0,43.25,43.25,19.85,0,0,0,75,0
NIFTY,03-Jan-2018,28-Mar-2018,CE,11450,0,0,0,25.25,0,16.45,0,0,0,0,0
NIFTY,03-Jan-2018,28-Mar-2018,CE,11500,18,20,15.05,15.05,15.05,15.05,11,95.03,0.15,48600,300
