Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI,Stock Price
NIFTY,01-Jan-2019,28-Mar-2019,PE,9200,0,0,0,33.95,33.95,3.05,0,0,0,300,0,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,9300,0,0,0,130.65,0,4.45,0,0,0,0,0,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,9350,0,0,0,13.25,0,5.35,0,0,0,0,0,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,9400,0,0,0,148.6,0,6.4,0,0,0,0,0,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,9450,0,0,0,17.8,0,7.6,0,0,0,0,0,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,9500,37,41.9,31.5,32.55,31.55,32.55,261,1866.93,7.3,64500,6750,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,9550,0,0,0,23.6,0,10.7,0,0,0,0,0,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,9600,0,0,0,67,67,12.6,0,0,0,750,0,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,9650,0,0,0,30.85,0,14.8,0,0,0,0,0,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,9700,0,0,0,213.5,0,17.25,0,0,0,0,0,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,9750,0,0,0,39.8,0,20.1,0,0,0,0,0,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,9800,0,0,0,82,82,23.25,0,0,0,150,0,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,9850,0,0,0,50.75,0,26.85,0,0,0,0,0,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,9900,0,0,0,171,171,30.9,0,0,0,75,0,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,9950,0,0,0,63.9,0,35.45,0,0,0,0,0,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,10000,79.2,91.4,70.6,73,72.9,73,438,3311.16,26.16,180600,5325,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,10050,0,0,0,79.6,0,46.05,0,0,0,0,0,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,10100,95.55,96.8,80,80,80,80,5,38.22,0.35,150,150,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,10150,0,0,0,98.05,0,59.05,0,0,0,0,0,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,10200,109,116.25,91.8,93.55,91.8,93.55,96,742.18,7.78,5550,4875,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,10250,0,0,0,119.5,0,74.75,0,0,0,0,0,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,10300,138.05,138.05,104.25,104.25,104.25,104.25,14,109.48,1.33,525,525,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,10350,0,0,0,144.6,0,93.5,0,0,0,0,0,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,10400,164.55,164.55,123.05,123.05,123.05,123.05,8,63.29,0.89,375,375,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,10450,0,0,0,172.35,0,115.5,0,0,0,0,0,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,10500,162,183,145,148.4,145,148.4,675,5397.78,82.15,155025,8025,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,10550,0,0,0,204.25,0,141.35,0,0,0,0,0,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,10600,197.55,210,166.25,168.6,166.25,168.6,18,145.77,2.67,4800,75,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,10650,0,0,0,239.95,0,170.35,0,0,0,0,0,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,10700,243.05,243.05,200,200.15,200,200.15,11,90.16,1.89,1425,225,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,10750,0,0,0,279.55,0,203.8,0,0,0,0,0,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,10800,258.45,272.9,222.45,227,222.45,227,89,738.53,17.63,135975,3000,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,10850,0,0,0,323.15,0,241.4,0,0,0,0,0,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,10900,307.85,311,249,260.3,249,260.3,16,134.26,3.46,1650,750,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,10950,0,0,0,370.65,0,283.35,0,0,0,0,0,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,11000,327.4,362.05,292.9,297.25,296.95,297.25,586,4976.7,142.2,261075,13125,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,11050,0,0,0,422.2,0,329.6,0,0,0,0,0,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,11100,389.75,393.05,389.75,393.05,393.05,393.05,3,25.86,0.88,150,150,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,11150,0,0,0,477.65,0,380.1,0,0,0,0,0,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,11200,411,411,411,411,411,411,1,8.71,0.31,75,75,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,11250,0,0,0,536.9,0,434.95,0,0,0,0,0,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,11300,0,0,0,869.45,0,463.95,0,0,0,0,0,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,11350,0,0,0,599.85,0,494,0,0,0,0,0,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,11400,0,0,0,928.15,0,525,0,0,0,0,0,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,11450,0,0,0,666.35,0,557,0,0,0,0,0,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,11500,637,644,576,579.1,576,579.1,8,72.63,3.63,12300,0,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,11550,0,0,0,736.15,0,623.9,0,0,0,0,0,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,11600,0,0,0,1051.1,0,658.7,0,0,0,0,0,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,11650,0,0,0,809.6,0,694.4,0,0,0,0,0,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,11700,850,850,825,825,825,825,4,37.61,2.51,300,300,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,11750,0,0,0,885.15,0,768.85,0,0,0,0,0,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,11800,0,0,0,1181.2,0,806.55,0,0,0,0,0,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,11850,0,0,0,963.75,0,845.4,0,0,0,0,0,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,11900,0,0,0,1248.7,0,885,0,0,0,0,0,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,11950,0,0,0,1044.75,0,925.25,0,0,0,0,0,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,12000,1100,1100,988.8,988.8,988.8,988.8,3,29.32,2.32,825,150,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,12050,0,0,0,1128.05,0,1007.65,0,0,0,0,0,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,12100,0,0,0,1389.05,0,1049.75,0,0,0,0,0,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,12150,0,0,0,1213.35,0,1092.4,0,0,0,0,0,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,12200,0,0,0,1461.25,0,1135.55,0,0,0,0,0,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,12250,0,0,0,1300.45,0,1179.15,0,0,0,0,0,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,12300,0,0,0,1534.4,0,1223.25,0,0,0,0,0,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,12350,0,0,0,1319.1,0,1267.75,0,0,0,0,0,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,12400,0,0,0,1609.2,0,1312.6,0,0,0,0,0,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,12500,0,0,0,1595,1595,1403.5,0,0,0,75,0,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,12600,0,0,0,1690.85,0,1495.6,0,0,0,0,0,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,12700,0,0,0,1808.9,0,1588.8,0,0,0,0,0,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,12800,0,0,0,1822,0,1682.95,0,0,0,0,0,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,12900,0,0,0,1797.5,0,1777.85,0,0,0,0,0,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,13000,2020,2040,1925,1931.1,1938.9,1931.1,979,10992.7,1447.45,74475,68325,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,13100,0,0,0,1680.95,0,1969.5,0,0,0,0,0,10910.1
NIFTY,01-Jan-2019,28-Mar-2019,PE,13200,0,0,0,1645.8,0,2066,0,0,0,0,0,10910.1
