Symbol,Date,Expiry,Option Type,Strike Price,Stock Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI
NIFTY,01-Jan-2019,28-Mar-2019,CE,9200,10910.1,0,0,0,1684.1,0,1873.4,0,0,0,0,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,9300,10910.1,0,0,0,1607.55,0,1776.55,0,0,0,0,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,9350,10910.1,0,0,0,1615.35,0,1728.35,0,0,0,0,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,9400,10910.1,0,0,0,1532.65,0,1680.25,0,0,0,0,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,9450,10910.1,0,0,0,1521.7,0,1632.35,0,0,0,0,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,9500,10910.1,0,0,0,1393,1393,1584.65,0,0,0,1425,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,9550,10910.1,0,0,0,1429.35,0,1537.2,0,0,0,0,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,9600,10910.1,0,0,0,1388.1,0,1489.95,0,0,0,0,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,9650,10910.1,0,0,0,1338.45,0,1443,0,0,0,0,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,9700,10910.1,0,0,0,1318.9,0,1396.35,0,0,0,0,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,9750,10910.1,0,0,0,1249.25,0,1350.05,0,0,0,0,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,9800,10910.1,0,0,0,1251.25,0,1304.1,0,0,0,0,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,9850,10910.1,0,0,0,1162.05,0,1258.6,0,0,0,0,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,9900,10910.1,0,0,0,1185.55,0,1213.5,0,0,0,0,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,9950,10910.1,0,0,0,1077.05,0,1168.9,0,0,0,0,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,10000,10910.1,992.3,1067.1,975,1060.8,1067.05,1060.8,16,132.45,12.45,76350,75
NIFTY,01-Jan-2019,28-Mar-2019,CE,10050,10910.1,0,0,0,994.6,0,1081.25,0,0,0,0,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,10100,10910.1,0,0,0,1060.1,0,1038.3,0,0,0,0,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,10150,10910.1,0,0,0,914.9,0,996,0,0,0,0,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,10200,10910.1,0,0,0,1000.75,0,954.4,0,0,0,0,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,10250,10910.1,0,0,0,838.2,0,913.45,0,0,0,0,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,10300,10910.1,0,0,0,943.55,0,873.3,0,0,0,0,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,10350,10910.1,0,0,0,765.15,0,833.9,0,0,0,0,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,10400,10910.1,0,0,0,888.5,0,795.35,0,0,0,0,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,10450,10910.1,0,0,0,694.7,0,757.65,0,0,0,0,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,10500,10910.1,619.8,651,572.2,643.45,648.85,643.45,147,1225.31,67.68,54075,225
NIFTY,01-Jan-2019,28-Mar-2019,CE,10550,10910.1,0,0,0,628.45,0,685.3,0,0,0,0,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,10600,10910.1,0,0,0,784.85,0,649.9,0,0,0,0,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,10650,10910.1,0,0,0,566,0,616,0,0,0,0,0
